num_voters,num_questions,num_choices,tally_time,decrypt_time
100,9,9,0.273,1.086
100,9,9,0.282,1.122
100,9,9,0.276,1.107
100,9,9,0.260,1.110
100,9,9,0.271,1.113
100,9,9,0.276,1.110
100,9,9,0.259,1.116
100,9,9,0.268,1.108
100,9,9,0.276,1.118
100,9,10,0.303,1.264
100,9,10,0.301,1.236
100,9,10,0.299,1.239
100,9,10,0.303,1.243
100,9,10,0.306,1.276
100,9,1,0.041,0.133
100,9,1,0.039,0.132
100,9,1,0.040,0.133
100,9,1,0.040,0.132
100,9,1,0.041,0.139
100,9,2,0.068,0.258
100,9,2,0.070,0.251
100,9,2,0.068,0.253
100,9,2,0.068,0.262
100,9,2,0.070,0.256
100,9,3,0.099,0.382
100,9,3,0.095,0.384
100,9,3,0.096,0.382
100,9,3,0.097,0.370
100,9,3,0.096,0.383
100,9,4,0.123,0.500
100,9,4,0.125,0.520
100,9,4,0.130,0.526
100,9,4,0.128,0.523
100,9,4,0.126,0.525
100,9,5,0.151,0.649
100,9,5,0.154,0.651
100,9,5,0.154,0.642
100,9,5,0.150,0.623
100,9,5,0.155,0.641
100,9,6,0.179,0.723
100,9,6,0.184,0.754
100,9,6,0.186,0.745
100,9,6,0.188,0.751
100,9,6,0.177,0.723
100,9,7,0.208,0.876
100,9,7,0.208,0.868
100,9,7,0.217,0.905
100,9,7,0.222,0.906
100,9,7,0.222,0.899
100,9,9,0.261,1.121
100,9,9,0.281,1.127
100,9,9,0.279,1.161
100,9,9,0.276,1.171
100,9,9,0.280,1.168
100,9,9,0.282,1.195
100,9,9,0.266,1.147
100,9,9,0.288,1.103
100,9,9,0.295,1.156
100,9,9,0.278,1.185
100,9,10,0.311,1.265
100,9,10,0.309,1.236
100,9,10,0.311,1.247
100,9,10,0.314,1.212
100,9,10,0.305,1.216
100,10,1,0.042,0.148
100,10,1,0.043,0.147
100,10,1,0.042,0.148
100,10,1,0.043,0.144
100,10,1,0.040,0.146
100,10,2,0.075,0.280
100,10,2,0.074,0.292
100,10,2,0.073,0.280
100,10,2,0.074,0.289
100,10,2,0.073,0.291
100,10,3,0.106,0.409
100,10,3,0.105,0.413
100,10,3,0.106,0.428
100,10,3,0.107,0.425
100,10,3,0.106,0.431
100,10,4,0.138,0.558
100,10,4,0.143,0.567
100,10,4,0.145,0.552
100,10,4,0.136,0.573
100,10,4,0.141,0.588
100,10,5,0.168,0.718
100,10,5,0.176,0.719
100,10,5,0.169,0.717
100,10,5,0.172,0.712
100,10,5,0.171,0.708
100,10,6,0.202,0.831
100,10,6,0.202,0.821
100,10,6,0.198,0.818
100,10,6,0.202,0.810
100,10,6,0.228,0.978
100,10,7,0.265,1.051
100,10,7,0.261,1.084
100,10,7,0.287,1.145
100,10,7,0.287,1.076
100,10,7,0.249,1.029
100,10,9,0.321,1.331
100,10,9,0.326,1.325
100,10,9,0.326,1.358
